No,Provinsi,PNS,PPPK,TBPP,APBD,Swadaya,Swasta,Total
1,Aceh,1554,1253,97,290,1242,290,4726
2,Sumatera Utara,1080,890,129,747,1118,0,3964
3,Sumatera Barat,614,408,2,185,1228,0,2437
4,Riau,498,235,12,305,380,0,1430
5,Jambi,684,7,129,335,596,0,1751
6,Sumatera Selatan,996,378,72,1688,1050,0,4184
7,Bengkulu,525,117,100,13,317,4,1076
8,Lampung,674,524,44,131,463,3,1839
9,Bangka Belitung,212,83,0,123,38,0,456
10,Kepulauan Riau,37,9,1,53,41,0,141
11,DKI Jakarta,35,0,12,0,42,0,89
12,Jawa Barat,1530,1319,41,879,2747,32,6548
13,Jawa Tengah,1525,1663,56,161,5722,33,9160
14,DI Yogyakarta,174,212,0,0,583,12,981
15,Jawa Timur,1795,1827,23,142,4396,22,8205
16,Banten,338,236,13,27,673,2,1289
17,Bali,335,127,12,61,339,0,874
18,Nusa Tenggara Barat,1027,438,6,24,726,4,2225
19,Nusa Tenggara Timur,1237,611,62,400,758,0,3068
20,Kalimantan Barat,775,245,7,224,555,7,1813
21,Kalimantan Tengah,571,157,10,208,120,0,1066
22,Kalimantan Selatan,756,323,10,79,908,9,2085
23,Kalimantan Timur,514,111,5,270,353,0,1253
24,Kalimantan Utara,147,6,11,58,82,2,306
25,Sulawesi Utara,666,81,12,159,75,1,994
26,Sulawesi Tengah,1049,92,49,611,338,1,2140
27,Sulawesi Selatan,1710,778,188,464,0,0,3140
28,Sulawesi Tenggara,688,90,74,268,947,4,2071
29,Gorontalo,417,48,9,152,507,0,1133
30,Sulawesi Barat,446,55,17,52,108,0,678
31,Maluku,388,71,51,262,208,0,980
32,Maluku Utara,399,70,18,197,75,75,834
33,Papua Barat,239,16,30,38,71,0,394
34,Papua,382,0,24,20,11,0,437
35,Papua Barat Daya,119,0,5,9,17,0,150
36,Papua Pegunungan,82,0,28,27,34,0,171
37,Papua Selatan,177,0,17,84,3,0,281
38,Papua Tengah,123,0,9,29,86,1,248
