Province,Population (in thousands)
Aceh,5554.8
Sumatera Utara,15588.5
Sumatera Barat,5836.2
Riau,6728.1
Kepulauan Riau,2183.3
Jambi,3724.3
Sumatera Selatan,8837.3
Bangka Belitung,1531.5
Bengkulu,2112.2
Lampung,9419.6
DKI Jakarta,10684.9
Jawa Barat,50345.2
Banten,12431.4
Jawa Tengah,37892.3
DI Yogyakarta,3759.5
Jawa Timur,41814.5
Kalimantan Barat,5695.5
Kalimantan Tengah,2809.7
Kalimantan Selatan,4273.4
Kalimantan Timur,4045.9
Kalimantan Utara,739.8
Sulawesi Utara,2701.8
Gorontalo,1227.8
Sulawesi Tengah,3121.8
Sulawesi Selatan,9463.4
Sulawesi Barat,1503.2
Sulawesi Tenggara,2793.1
Bali,4433.3
Nusa Tenggara Barat,5646
Nusa Tenggara Timur,5656
Maluku,1945.6
Maluku Utara,1355.6
Papua Barat,1205.8
Papua,4542.6
