No,Provinsi,2015,2016,2017,2018,2019,Pertumbuhan
1,Aceh,251331,251856,249658,251175,250185,-0.39
2,Sumatera Utara,353059,335806,345481,339628,334335,-1.56
3,Sumatera Barat,139740,141706,140453,140745,142900,1.53
4,Riau,160593,152988,158930,190603,148981,-21.84
5,Jambi,256761,220549,228862,228289,237252,3.93
6,Sumatera Selatan,203102,204815,203443,207792,193966,-6.65
7,Bengkulu,67577,66556,67073,67486,75026,11.17
8,Lampung,0,0,44098,29245,51311,75.45
9,Kepulauan Bangka Belitung,33018,28147,27435,30417,27269,-10.35
10,Kepulauan Riau,24950,19639,19515,19882,25478,28.15
11,DKI Jakarta,8,420,12,13,13,0.00
12,Jawa Barat,182490,186025,143367,153539,159329,3.77
13,Jawa Tengah,18546,23455,21340,23878,27885,16.79
14,DI Yogyakarta,0,0,0,0,0,0
15,Jawa Timur,43785,59048,94694,67018,83933,25.24
16,Banten,76562,74703,70963,70839,81599,15.19
17,Bali,0,0,0,0,0,0
18,Nusa Tenggara Barat,82677,80181,87946,84955,90411,6.42
19,Nusa Tenggara Timur,345865,348791,346045,362635,362709,0.02
20,Kalimantan Barat,228851,247745,249893,254621,259026,1.73
21,Kalimantan Tengah,160502,149308,133489,123872,116842,-5.68
22,Kalimantan Selatan,108625,111660,98704,102549,97937,-4.50
23,Kalimantan Timur,162510,146162,106795,150716,188904,25.34
24,Kalimantan Utara,32164,38615,40255,36318,15048,-58.57
25,Sulawesi Utara,167108,114211,136572,121684,128868,5.90
26,Sulawesi Tengah,189270,170997,189955,177404,174689,-1.53
27,Sulawesi Selatan,106717,107759,117588,93221,89894,-3.57
28,Sulawesi Tenggara,136245,135427,141732,160690,147195,-8.40
29,Gorontalo,59878,37399,41382,39996,39755,-0.60
30,Sulawesi Barat,92908,98188,91384,90847,96226,5.92
31,Maluku,397483,415254,424237,431997,430977,-0.24
32,Maluku Utara,87130,87130,87130,93903,72080,-23.24
33,Papua Barat,662818,661604,749495,720216,661777,-8.11
34,Papua,358106,358081,390564,390154,376858,-3.41
