No,Provinsi,2015,2016,2017,2018,2019,Pertumbuhan
1,Aceh,359661,399137,402647,411341,424937,3.31
2,Sumatera Utara,593174,598239,691622,696339,716956,2.96
3,Sumatera Barat,350576,343276,345545,328600,323908,-1.43
4,Riau,451139,490249,498476,472559,494657,4.68
5,Jambi,359474,376368,419354,310987,292544,-5.93
6,Sumatera Selatan,377243,364583,367521,425709,387723,-8.92
7,Bengkulu,173311,173172,173588,168198,165305,-1.72
8,Lampung,749097,746183,713125,707937,734118,3.70
9,Kepulauan Bangka Belitung,125570,117371,99037,97930,100154,2.27
10,Kepulauan Riau,38554,34317,36334,34267,35745,4.31
11,DKI Jakarta,955,497,924,1048,733,-30.06
12,Jawa Barat,596917,589170,553671,559434,570351,1.95
13,Jawa Tengah,712111,699044,707199,708744,704235,-0.64
14,DI Yogyakarta,103786,103697,103112,100894,101025,0.13
15,Jawa Timur,1112267,1103984,1115801,1121448,1112963,-0.76
16,Banten,157546,149925,127032,121918,155922,27.89
17,Bali,124289,124981,123590,126050,124913,-0.90
18,Nusa Tenggara Barat,245564,240016,235550,244636,243643,-0.41
19,Nusa Tenggara Timur,527397,532756,534313,550595,555937,0.97
20,Kalimantan Barat,608531,411188,571152,568854,567881,-0.17
21,Kalimantan Tengah,587504,597440,601742,568756,600574,5.59
22,Kalimantan Selatan,237044,233149,237833,242064,240378,-0.70
23,Kalimantan Timur,200001,200558,193813,190505,179471,-5.79
24,Kalimantan Utara,37753,36453,35422,36928,30508,-17.39
25,Sulawesi Utara,180883,246470,215401,227595,255731,12.36
26,Sulawesi Tengah,421017,468234,399102,392636,386447,-1.58
27,Sulawesi Selatan,526681,501918,481352,501507,496641,-0.97
28,Sulawesi Tenggara,213009,214175,231171,235650,301577,27.98
29,Gorontalo,151480,191939,239313,244829,245086,0.11
30,Sulawesi Barat,137131,133687,133484,136653,132587,-2.98
31,Maluku,718142,433852,353358,470354,307230,-34.68
32,Maluku Utara,278060,277792,278099,223526,989928,342.87
33,Papua Barat,6523,6353,25919,28506,6826,-76.05
34,Papua,399287,399655,459169,439852,406461,-7.59
