No,Provinsi,2015,2016,2017,2018,2019,Pertumbuhan
1,Aceh,290337,293067,294483,193308,213997,
2,Sumatera Utara,423465,423029,415675,245801,308667,
3,Sumatera Barat,226377,222482,222021,197800,194282,
4,Riau,72005,72151,70016,86247,62689,
5,Jambi,94735,96588,97690,111147,68349,
6,Sumatera Selatan,620632,615184,621903,387237,470602,
7,Bengkulu,85130,83449,82429,47968,50840,
8,Lampung,377463,390799,396599,253583,361699,
9,Bangka Belitung,10668,13820,13679,5409,22402,
10,Kepulauan Riau,246,286,310,1220,1394,
11,DKI Jakarta,650,581,571,451,414,
12,Jawa Barat,912794,913976,911817,930334,928218,
13,Jawa Tengah,965261,963665,951752,980618,1049661,
14,DI Yogyakarta,53553,53985,51343,75990,76273,
15,Jawa Timur,1091752,1087018,1081873,1287356,1214909,
16,Banten,199492,203123,199408,198284,204335,
17,Bali,75922,76096,74278,69078,70996,
18,Nusa Tenggara Barat,264666,276230,276306,227786,234542,
19,Nusa Tenggara Timur,177238,181039,184346,146071,155520,
20,Kalimantan Barat,330724,356741,368728,155818,242972,
21,Kalimantan Tengah,196813,194782,180034,187008,136916,
22,Kalimantan Selatan,450152,454121,447918,252972,290716,
23,Kalimantan Timur,57087,56505,59425,36399,41406,
24,Kalimantan Utara,21448,20520,18189,14265,11922,
25,Sulawesi Utara,55825,60562,59886,52236,47043,
26,Sulawesi Tengah,129014,132489,136541,119670,116828,
27,Sulawesi Selatan,628148,649190,646611,641457,654818,
28,Sulawesi Tenggara,103812,109854,108466,79910,82117,
29,Gorontalo,32054,32749,32681,29067,33056,
30,Sulawesi Barat,61292,63671,64232,42216,39485,
31,Maluku,13394,14354,16732,13660,18283,
32,Maluku Utara,11801,13068,13221,9041,13542,
33,Papua Barat,10193,10680,11340,4239,8860,
34,Papua,48764,51880,53543,21498,36195,
