No,Provinsi,2015,2016,2017,2018,2019,Pertumbuhan
1,Aceh,191263,190380,191126,-,-,
2,Sumatera Utara,263943,261470,260021,-,-,
3,Sumatera Barat,183374,181326,181959,-,-,
4,Riau,10382,12616,11084,-,-,
5,Jambi,35222,33253,33993,-,-,
6,Sumatera Selatan,115687,123647,121973,-,-,
7,Bengkulu,62420,60332,60765,-,-,
8,Lampung,191932,194849,191863,-,-,
9,Kepulauan Bangka Belitung,3128,4228,2440,-,-,
10,Kepulauan Riau,126,187,205,-,-,
11,DKI Jakarta,529,477,477,-,-,
12,Jawa Barat,736635,734329,723636,-,-,
13,Jawa Tengah,682236,685057,675694,-,-,
14,DI Yogyakarta,44694,44718,42081,-,-,
15,Jawa Timur,851123,847145,834902,-,-,
16,Banten,102944,105459,102862,-,-,
17,Bali,75360,75548,73739,-,-,
18,Nusa Tenggara Barat,209622,211740,211426,-,-,
19,Nusa Tenggara Timur,103902,103634,105437,-,-,
20,Kalimantan Barat,80389,85810,91561,-,-,
21,Kalimantan Tengah,17185,15085,13850,-,-,
22,Kalimantan Selatan,47877,47149,47203,-,-,
23,Kalimantan Timur,13863,13225,11875,-,-,
24,Kalimantan Utara,6051,4997,3978,-,-,
25,Sulawesi Utara,45771,48224,50738,-,-,
26,Sulawesi Tengah,114281,118196,121727,-,-,
27,Sulawesi Selatan,383507,390768,388756,-,-,
28,Sulawesi Tenggara,85701,90023,89676,-,-,
29,Gorontalo,27066,27614,27598,-,-,
30,Sulawesi Barat,35282,36534,36228,-,-,
31,Maluku,12359,12839,15053,-,-,
32,Maluku Utara,9212,9426,9485,-,-,
33,Papua Barat,6883,6523,6742,-,-,
34,Papua,5105,5835,5659,-,-,
