No,Provinsi,2015,2016,2017,2018,2019,Pertumbuhan
1,Aceh,99074,102687,103357,-,-,
2,Sumatera Utara,159522,161560,155654,-,-,
3,Sumatera Barat,43003,41156,40062,-,-,
4,Riau,61623,59536,58933,-,-,
5,Jambi,59513,63336,63698,-,-,
6,Sumatera Selatan,504945,491537,499930,-,-,
7,Bengkulu,22711,23117,21664,-,-,
8,Lampung,185531,195950,204736,-,-,
9,Kepulauan Bangka Belitung,7540,9592,11239,-,-,
10,Kepulauan Riau,120,99,106,-,-,
11,DKI Jakarta,121,104,94,-,-,
12,Jawa Barat,176159,179647,188181,-,-,
13,Jawa Tengah,283025,278608,276058,-,-,
14,DI Yogyakarta,8859,9267,9262,-,-,
15,Jawa Timur,240629,239872,246972,-,-,
16,Banten,96548,97664,96547,-,-,
17,Bali,562,548,539,-,-,
18,Nusa Tenggara Barat,55044,64491,64881,-,-,
19,Nusa Tenggara Timur,73336,77406,78910,-,-,
20,Kalimantan Barat,250335,270931,277167,-,-,
21,Kalimantan Tengah,179628,179697,166183,-,-,
22,Kalimantan Selatan,402275,406972,400715,-,-,
23,Kalimantan Timur,43224,43280,47551,-,-,
24,Kalimantan Utara,15397,15523,14211,-,-,
25,Sulawesi Utara,10054,12338,9148,-,-,
26,Sulawesi Tengah,14733,14293,14814,-,-,
27,Sulawesi Selatan,244641,258422,257855,-,-,
28,Sulawesi Tenggara,18111,19831,18790,-,-,
29,Gorontalo,4988,5135,5083,-,-,
30,Sulawesi Barat,26010,27137,28004,-,-,
31,Maluku,1035,1515,1679,-,-,
32,Maluku Utara,2589,3642,3736,-,-,
33,Papua Barat,3310,4157,4598,-,-,
34,Papua,43659,46045,47884,-,-,
