No,Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,Aceh,"4,816,461.30","5,488,556.25","6,143,967.23","6,984,672.33","7,276,278.61","8,439,195.69","8,828,760.83","9,789,444.52","10,246,382.81","9,909,055.15","10,143,974.89","8,563,842.14","8,248,377.95","8,487,618.28","9,695,786.52",0
2,Sumatera Utara,"14,073,782.31","15,249,484.00","16,890,740.84","18,245,908.35","18,781,525.64","21,422,765.24","24,357,799.73","25,102,490.59","27,082,761.92","28,367,906.33","28,607,844.23","27,838,401.80","29,442,172.00","32,382,179.02","33,376,235.27",0
3,Sumatera Barat,"7,693,817.34","8,544,813.35","9,630,645.63","10,570,324.19","12,332,550.25","13,096,161.40","13,223,728.08","13,991,607.52","15,393,721.25","15,824,956.05","15,397,282.09","13,247,566.17","14,249,948.69","16,236,964.75","16,931,113.19",0
4,Riau,"3,383,402.27","3,758,841.21","4,093,749.47","4,435,014.90","4,724,990.99","5,341,492.05","6,027,378.86","6,117,983.07","6,492,900.94","6,412,138.42","6,727,426.63","6,205,810.39","6,200,826.13","6,152,285.12","6,846,000.92",0
5,Jambi,"2,007,870.36","2,352,930.75","2,726,418.42","3,315,429.73","3,602,657.34","3,911,979.44","4,494,061.17","4,343,341.89","4,585,509.73","4,287,559.23","4,466,092.43","3,871,004.92","3,757,756.73","3,935,301.15","4,039,350.09",0
6,Sumatera Selatan,"6,977,566.00","7,478,142.00","7,973,890.00","8,582,687.00","8,346,862.82","9,358,443.85","10,991,959.83","10,959,353.30","11,155,521.24","11,452,120.13","11,702,025.69","10,738,745.96","11,381,470.08","12,111,593.04","12,874,454.17",0
7,Bengkulu,"2,944,049.31","3,335,308.45","3,720,494.22","4,192,716.70","4,614,144.43","4,944,294.48","5,201,769.41","5,611,422.44","6,040,065.68","6,365,838.55","6,330,192.10","6,249,296.03","6,964,219.87","7,361,559.92","7,922,730.30",0
8,Lampung,"18,120,458.06","20,737,723.50","22,243,227.68","23,940,944.87","25,495,946.02","28,051,163.13","30,976,034.51","34,322,356.58","36,910,934.61","36,398,197.13","38,399,862.69","34,823,917.15","37,347,747.26","38,815,075.72","38,129,694.04",0
9,Kep. Bangka Belitung,"193,749.55","191,485.98","235,574.20","272,692.06","285,938.86","321,115.24","356,272.27","355,008.71","377,278.55","434,114.30","525,547.83","464,664.32","475,986.13","425,501.90","439,732.91",0
10,Kepulauan Riau,"17,843.32","20,965.65","24,137.85","25,311.97","27,648.74","33,007.94","35,613.94","34,900.49","28,479.42","27,233.85","23,723.44","18,239.55","19,929.91","20,291.19","22,384.75",0
