No,Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,Aceh,"3,294,743.76","3,723,123.79","4,153,121.68","4,427,086.81","4,865,045.82","5,222,952.04","5,701,066.08","6,095,490.69","6,466,004.08","6,940,096.17","7,482,318.23","7,982,108.53","8,997,836.32","9,321,606.66","9,595,208.75",0
2,Sumatera Utara,"10,102,020.46","11,307,336.43","11,508,500.37","12,520,358.58","12,904,321.49","13,577,107.80","14,545,134.18","15,493,019.10","15,730,989.40","16,187,129.21","16,861,747.37","17,806,184.52","19,484,300.34","20,551,556.97","21,397,999.80",0
3,Sumatera Barat,"4,588,448.41","5,034,997.37","4,813,237.96","5,070,384.59","5,622,211.69","6,184,574.00","6,678,318.42","7,115,937.37","6,777,634.96","6,864,197.23","7,220,233.52","7,568,646.22","8,053,286.09","8,359,192.36","8,592,299.52",0
4,Riau,"1,933,440.02","2,118,998.53","2,292,584.10","2,466,672.13","2,852,417.35","3,382,291.49","3,848,398.09","4,023,857.63","4,306,693.70","4,579,243.28","4,584,769.58","4,686,918.18","4,957,126.45","5,201,080.12","5,468,223.38",0
5,Jambi,"2,571,922.45","3,098,640.31","3,535,239.17","4,091,586.50","4,849,229.06","5,405,993.87","6,343,663.28","6,647,145.31","7,068,367.16","7,405,964.31","7,468,760.99","7,790,988.64","8,646,992.80","9,161,593.85","9,520,002.04",0
6,Sumatera Selatan,"2,378,831.00","2,474,049.00","2,508,122.00","2,754,675.00","2,818,863.53","3,013,348.93","3,396,502.00","3,770,327.49","3,840,034.27","4,334,135.04","4,799,289.49","5,111,395.80","5,474,247.60","5,718,401.48","5,902,390.79",0
7,Bengkulu,"1,160,132.17","1,309,769.10","1,412,435.69","1,562,306.15","1,737,418.01","1,924,203.87","2,118,714.63","2,269,827.41","2,443,210.96","2,588,739.81","2,638,946.09","2,807,644.52","2,944,055.96","3,202,591.44","3,728,037.63",0
8,Lampung,"3,896,974.45","4,726,440.41","5,234,011.24","5,577,061.65","6,065,269.88","6,517,762.45","7,727,184.14","5,638,971.54","5,702,325.81","5,864,268.17","5,163,446.05","5,396,219.59","5,768,903.72","6,056,458.18","6,412,926.68",0
9,Kep. Bangka Belitung,"766,110.24","847,647.65","869,755.00","980,423.49","1,101,486.46","1,242,396.23","1,337,916.86","1,362,784.75","1,357,006.48","1,403,591.21","1,595,685.56","1,555,298.77","1,662,714.89","1,841,990.30","1,834,859.13",0
10,Kepulauan Riau,"172,904.60","195,588.02","201,961.07","216,428.20","251,496.68","290,929.86","301,701.10","312,529.59","334,874.36","402,982.30","420,826.26","411,988.85","420,885.19","466,548.78","459,154.39",0
11,D K I Jakarta,"670,433.71","731,627.65","778,721.61","841,046.88","878,796.50","959,871.96","1,022,555.54","1,034,653.56","1,058,168.71","1,090,065.40","1,106,697.04","1,107,785.69","1,123,044.20","1,153,532.06","1,260,596.73",0
12,Jawa Barat,"17,581,902.15","18,210,689.64","18,396,870.75","20,115,838.64","22,401,812.65","23,951,773.17","27,049,537.91","29,644,458.00","33,080,076.10","37,154,845.35","34,814,038.10","38,873,883.01","43,786,704.22","45,675,474.21","50,691,008.84",0
13,Jawa Tengah,"24,299,986.52","29,086,696.97","27,708,277.76","31,125,412.77","37,493,486.98","41,223,003.65","43,470,547.47","43,351,730.48","46,453,296.62","49,568,050.41","55,920,682.72","56,486,379.32","62,349,535.31","62,291,126.11","66,448,184.40",0
14,D I Yogyakarta,"1,946,350.41","2,051,155.31","2,359,442.54","2,847,638.20","2,864,103.36","3,023,443.18","3,114,051.52","3,268,737.54","3,431,114.51","3,685,408.56","3,958,913.55","4,220,434.24","4,953,874.04","5,324,030.58","5,711,693.43",0
15,Jawa Timur,"13,372,870.92","14,931,585.69","15,278,161.38","16,022,988.51","18,025,874.94","20,097,651.00","22,732,503.80","23,423,332.73","23,654,943.48","25,041,202.75","27,117,370.64","27,611,940.60","30,660,981.92","32,118,181.22","34,080,384.10",0
16,Banten,"2,251,839.02","2,646,545.45","2,937,537.55","3,264,329.16","3,658,331.48","3,951,275.25","4,208,478.62","4,496,813.09","4,737,282.94","5,132,928.54","5,434,375.85","5,656,186.84","6,009,858.70","6,454,937.50","6,800,135.68",0
17,Bali,"2,107,623.80","2,348,160.78","2,391,552.56","2,625,066.36","2,975,427.82","3,797,338.51","4,119,514.52","4,200,787.78","4,329,638.63","4,561,395.47","4,628,986.24","4,665,195.58","4,422,232.93","4,623,443.38","4,875,680.16",0
18,Nusa Tenggara Barat,"2,119,228.09","2,130,089.79","2,208,722.30","2,304,678.53","2,525,973.07","2,922,660.69","3,410,649.38","3,653,645.56","3,671,030.31","3,703,349.96","3,731,992.82","3,759,169.55","3,921,910.75","3,992,571.89","4,243,705.65",0
19,Nusa Tenggara Timur,"1,394,269.85","1,502,723.63","1,576,413.25","1,727,403.10","1,867,206.66","1,997,837.95","2,121,935.57","2,246,337.19","2,323,738.59","2,386,342.70","2,365,413.33","2,485,398.31","2,585,888.54","2,648,713.46","2,893,372.12",0
20,Kalimantan Barat,"1,761,501.27","1,920,198.01","2,021,277.32","2,203,865.82","2,422,071.01","2,770,698.24","2,977,904.48","3,387,479.13","3,679,849.18","3,866,779.79","4,028,289.36","4,190,103.07","3,989,539.94","4,489,646.01","4,547,716.01",0
21,Kalimantan Tengah,"446,430.36","467,165.84","497,059.02","550,407.73","619,776.69","639,946.42","669,034.52","660,893.07","665,485.86","800,351.17","751,645.72","961,445.64","960,808.57","1,032,925.86","1,098,388.34",0
