Province,E1,E2,E3,Exposure,E,S1,S2,S3,Sensitivity,S,A1,A2,A3,A4,A5,A6,A7,Adaptation,A,province,H1,H4,H2,H3,H5,H6,H7,H8,H9,H,Vulnerability,V,Risk,R,R1,R2,R3,R4,R5,R6,R7,R8,R9
Aceh,0.3487960795314249,0.183177800101275,0.8097022517895296,0.4472253771407431,0.5891188239073091,0.1004247260916588,0.5614658314714469,0.0665483882077833,0.24281298192362966,0.37001157822763525,0.3968662957180189,0.7799847657227162,0.9269578061586418,0.4553719008264463,0.6246820247174436,0.9429302509187194,0.8995752739083411,0.7180526168529039,0.8926211848904535,ACEH,0.674582950507544,0.180946848678478,0.8955507493034724,0.4397516996483903,0.7264718698248268,0.5497369233165557,0.2864086717364236,0.0131291028446389,0.93682839465972,0.5224854900897147,0.32399524740382296,0.49259722548157175,0.5347338464928652,0.6290380012284469,0.6177851780064876,0.6333261572625584,0.5370655744865062,0.4026224066287622,0.7944487924175798,0.7167981990586011,0.6011018108379345,0.4001550513068447,0.7998311862165782
Bali,0.6090007530986907,0.1226530314400714,0.3072583207903476,0.34630403510970326,0.4561776596455974,0.0723582890001267,0.3134365883517838,0.1421776147933157,0.1759908307150754,0.21672545227727405,0.2561589492885115,0.1764435871245562,0.713494753002341,0.4895316804407713,1.0,0.9976648886341374,0.9276417109998732,0.6515622242128843,0.7876009093309644,BALI,0.0,0.0,0.5108719740029886,0.1765918403803892,0.1399485241945187,0.1191529933128138,0.0735453503723656,0.5382932166301969,0.1691088679040486,0.0,0.29024421387063143,0.3960986546933029,0.2840921047796334,0.2990251499409574,0.24217192846628033,0.39161731855903403,0.34429494030582736,0.25370250597351557,0.435945742366415,0.4268089794110264,0.40677072095677946,0.5679887629034365,0.4047152512821978
Bangka Belitung,0.1898067313650894,0.0650025746503866,0.4478291626940743,0.23421282290318346,0.30852270426799117,0.072768205675524,0.4795649050430223,1.0,0.5174443702395154,1.0,0.4047620252041859,0.3598912334945973,0.542611859584244,0.2768595041322313,0.1107711252649902,1.0,0.927231794324476,0.5174467917149606,0.5757682051090529,KEPULAUAN BANGKA BELITUNG,0.2204892052352118,0.0897473133894859,0.9095105082563624,0.2453053794775477,0.1356737029051617,0.1195802103842833,0.0903879291156568,0.4726477024070022,0.2647346141322045,0.1440685099958538,0.4114034671425794,0.7425086325394327,0.39836661560109254,0.44948714756312735,0.4163641132803795,0.6267434390236566,0.4489643002304876,0.3583934020657944,0.5213929236765872,0.5143220570022025,0.5014960822485056,0.6435329669799839,0.5213611443762138
Banten,0.841391399340345,0.091858572442041,0.2227524016619084,0.38533412448143145,0.5075910219522574,0.0527846168232945,0.0819275778703736,0.1098283654415328,0.08151352004506697,0.0,0.114285047162787,0.2268350941579204,0.6739962260185017,0.3366391184573002,0.4792536179697845,0.907033378746594,0.9472153831767054,0.5264654093842276,0.5900129354405449,BANTEN,0.4243313617036455,0.3055474876561138,0.7234820585418158,0.6861042024661915,0.1818841312544948,0.1348940278716536,0.0717151767305794,0.2932166301969365,0.1906002387930099,0.2254812997245222,0.3134607450474236,0.46247772053786457,0.3985166807382147,0.44968473406026077,0.46741945998686163,0.5216593321134911,0.5897802058915497,0.4073228744384436,0.5061241476861172,0.4854784888519906,0.4577201118260105,0.4957506444119474,0.4599052801842212
Bengkulu,0.3097017184304143,0.0588925224492489,0.8183312647688005,0.39564183521615454,0.5211691119614605,0.1029061228796422,0.4999371752881878,0.0804245958670506,0.22775596467829354,0.3354716569565898,0.264499466668121,0.2490898570944071,0.6459341210978422,0.3258953168044077,0.7209436382605371,0.9700733380167872,0.8970938771203577,0.58193280215178,0.6776225981560674,BENGKULU,0.6988205890781801,0.0981702004066221,0.6930275777312842,0.3696941630284018,0.390646872222945,0.2811297676168003,0.191890218443301,0.1225382932166302,0.4235319657006404,0.2707218491811431,0.347154999247556,0.5588139518681393,0.45023497100358095,0.5177807356181948,0.627135657792464,0.5529336634585248,0.5089715511696162,0.37195579428436,0.6461386918778558,0.598021054004655,0.5588126004344061,0.46126498475778566,0.5957551309356612
DI Yogyakarta,1.0,0.0209018400787499,0.2128632085360351,0.4112550162049284,0.5417359654802932,0.0778467621753204,0.1064404138218019,0.2017989640606149,0.12869538001924574,0.10823244088628539,0.214474114743587,0.2677367892623648,0.6181250733794296,0.596694214876033,0.8109461521036511,1.0,0.9221532378246796,0.632875654598535,0.7580858378711612,DAERAH ISTIMEWA YOGYAKARTA,0.2228748402586365,0.0357246587278536,0.0,0.6853836528878714,0.208018563142467,0.1318563129034686,0.0604528095585154,0.5842450765864333,0.1302507326603712,0.0581661239978398,0.30235824720854637,0.4307342430358236,0.3435454441713189,0.3773056706439348,0.3847138847863549,0.23785164729190242,0.5904380045039738,0.310281781051125,0.5186617326336821,0.4851989453386042,0.4538269698906927,0.6622821678011284,0.4369438587530135
DKI Jakarta,0.0,0.0,,0.0,0.0,0.0,0.0,0.7234628028342335,0.24115426761141115,0.366206584129423,0.3557782018422218,0.8271187252408949,0.7051535035949296,1.0,0.82816705168025,,1.0,0.786036247059716,1.0,DKI JAKARTA,0.3127378593488825,0.1594539645657856,0.3681518058346454,0.8608730503259779,0.0,0.0,0.0,1.0,0.0,0.1709557163240278,0.15170600685056504,0.0,0.056985238774675935,0.0,0.017998580199338,0.0,0.2785528585284655,0.002293128594320246,0.0,0.0,0.0,0.34632717957588854,0.0
Gorontalo,0.5260356802358724,0.0265495652490157,0.6629921213839055,0.4051924556229312,0.5337499057831285,0.0909125228650384,0.4479783573391352,0.0352001610996569,0.19136368043461016,0.251989874863282,0.6493350286996519,1.0,0.797581314314626,0.0845730027548209,0.8380922936321726,0.9774626372719014,0.9090874771349616,0.7508759648297334,0.9444650214575557,GORONTALO,0.4562818483382593,0.0406622131861748,0.5600814686511424,0.4101642427236864,0.2101018519747395,0.153663948152335,0.1532253424972151,0.1969365426695842,0.4381851731249322,0.1565738547628998,0.2818933904092693,0.3722225701836506,0.3541821102432263,0.39131066627869726,0.4540631791811833,0.4321196096564141,0.45671270088796406,0.2879430010589911,0.4903604833655609,0.46556382143576197,0.46537111484295995,0.4047315716261873,0.5326111149570633
Jambi,0.2847331854795794,0.2778342586321128,0.8105762021535289,0.4577145487550737,0.6029359478028784,0.1016463170074844,0.6805338687203731,0.0603538386665998,0.28084467479815245,0.4572540683096256,0.176128007149901,0.2391939843548119,0.4108597114123432,0.25564738292011,0.2959534119854572,0.9600256678061732,0.8983536829925155,0.4623088355173303,0.488678881016584,JAMBI,0.748797896272353,0.3122277083938425,0.6816671694350663,0.8923073024493401,0.3460584944643624,0.2214765049700783,0.1706843141162008,0.0634573304157549,0.6666666666666667,0.417130731461646,0.42541679601196525,0.7825745524927247,0.6008804105857496,0.7161313004927772,0.7748446634694685,0.6687138745503692,0.8330505513269472,0.5605012813393994,0.7607853598938858,0.7060487863004993,0.6837326352747513,0.6011317977745578,0.8131578685906253
Jawa Barat,0.7921204197543991,0.3235288404107183,0.1462364441121409,0.4206285680924194,0.5540835113621876,0.0599594155930423,0.0862368652449437,0.1517333317543245,0.09930987086410349,0.040823793065112045,0.1253819769473476,0.1934015058502376,0.5908961584639261,0.2294765840220385,0.7825717890049411,0.9943985466388456,0.9400405844069576,0.550881020762042,0.62857691638639,JAWA BARAT,0.6150409638969144,0.7203020621550974,0.7898461234407024,0.843524026235675,0.3500090497434658,0.2857428306012229,0.1694944087655373,0.1575492341356674,0.4578313253012049,0.4673439012903449,0.3230191393981603,0.4898064064274292,0.5037446063599872,0.5882353502989595,0.5773296055228411,0.5768343692449864,0.6802725135452296,0.584615834314282,0.6124260314659743,0.5841899064215152,0.5331147845459252,0.4606507962930612,0.5950443582103495
