Province,Civil Servant,Contract Worker,Contract Worker (TBPP),Contract Worker (APBD),Self-employed,Private,Total,Farmers,Officers per 1000 Farmers,A2
Aceh,1554,1253,97,290,1242,290,4726,842852,5.607152857203874,0.7799847657227162
Bali,335,127,12,61,339,0,874,476677,1.8335266857851333,0.17644358712455624
Bangka Belitung,212,83,0,123,38,0,456,152993,2.9805285209127215,0.3598912334945973
Banten,338,236,13,27,673,2,1289,599926,2.1485983271270124,0.2268350941579204
Bengkulu,525,117,100,13,317,4,1076,470332,2.2877456775214102,0.24908985709440712
DI Yogyakarta,174,212,0,0,583,12,981,408013,2.4043351559876767,0.2677367892623648
DKI Jakarta,35,0,12,0,42,0,89,15080,5.901856763925729,0.8271187252408949
Gorontalo,417,48,9,152,507,0,1133,162256,6.982792624001577,1.0
Jambi,684,7,129,335,596,0,1751,786658,2.2258719799455418,0.2391939843548119
Jawa Barat,1530,1319,41,879,2747,32,6548,3376031,1.939555649814827,0.19340150585023763
Jawa Tengah,1525,1663,56,161,5722,33,9160,4585076,1.9977858600380887,0.2027146513796882
Jawa Timur,1795,1827,23,142,4396,22,8205,6795339,1.2074452797719144,0.07631021605946532
Kalimantan Barat,775,245,7,224,555,7,1813,1241820,1.4599539385740283,0.11669560841600923
Kalimantan Selatan,756,323,10,79,908,9,2085,547861,3.80570984246004,0.4918679807240705
Kalimantan Tengah,571,157,10,208,120,0,1066,403255,2.643488611424533,0.30598619495426904
Kalimantan Timur,514,111,5,270,353,0,1253,285347,4.391144816661819,0.5855004971080356
Kalimantan Utara,147,6,11,58,82,2,306,83532,3.6632667720155148,0.4690861113194209
Kepulauan Riau,37,9,1,53,41,0,141,28514,4.944939328049379,0.674072543442551
Lampung,674,524,44,131,463,3,1839,1904697,0.9655078996816817,0.03761555874747399
Maluku,388,71,51,262,208,0,980,222007,4.414275225555951,0.589199897528553
Maluku Utara,399,70,18,197,75,75,834,132564,6.291300805648593,0.8894051058367449
Nusa Tenggara Barat,1027,438,6,24,726,4,2225,881456,2.524232633279483,0.28691279172485495
Nusa Tenggara Timur,1237,611,62,400,758,0,3068,1307133,2.3471215247415524,0.25858623198255243
Papua,764,0,78,160,134,1,1137,1556857,0.730317556461512,0.0
Papua Barat,358,16,35,47,88,0,544,164037,3.3163249754628525,0.4135973980011028
Riau,498,235,12,305,380,0,1430,1062558,1.3458088876089587,0.09843962982640117
Sulawesi Barat,446,55,17,52,108,0,678,323086,2.0985124703639277,0.2188245293460578
Sulawesi Selatan,1710,778,188,464,0,0,3140,1390298,2.2585086075071676,0.24441377767011194
Sulawesi Tengah,1049,92,49,611,338,1,2140,550140,3.8899189297269787,0.5053361011655438
Sulawesi Tenggara,688,90,74,268,947,4,2071,324273,6.386594011835706,0.9046459832745185
Sulawesi Utara,666,81,12,159,75,1,994,243374,4.084248933739841,0.5364165935967304
Sumatera Barat,614,408,2,185,1228,0,2437,902400,2.7005762411347516,0.3151165999688514
Sumatera Selatan,996,378,72,1688,1050,0,4184,1858208,2.2516316795536344,0.24331390475910508
Sumatera Utara,1080,890,129,747,1118,0,3964,2380891,1.6649229217129218,0.1494776636700952
