Province,2017_wetlands,2017_irrigated,Irrigated Wetlands,A5
Aceh,294483,191126,64.90221846422374,0.6246820247174436
Sumatera Utara,415675,260021,62.553918325614966,0.599040341398925
Sumatera Barat,222021,181959,81.95576094153256,0.8108939694653249
Riau,70016,11084,15.830667276051189,0.0888573425023962
Jambi,97690,33993,34.79680622376907,0.2959534119854572
Sumatera Selatan,621903,121973,19.612865671977783,0.13015612365973792
Bengkulu,82429,60765,73.71798760145094,0.7209436382605371
Lampung,396599,191863,48.377076089450554,0.4442398143710255
Bangka Belitung,13679,2440,17.837561225235763,0.11077112526499025
Kepulauan Riau,310,205,66.12903225806451,0.6380779149085043
DKI Jakarta,571,477,83.53765323992994,0.82816705168025
Jawa Barat,911817,723636,79.36197723885385,0.7825717890049411
Jawa Tengah,951752,675694,70.99475493615984,0.6912079718276214
DI Yogyakarta,51343,42081,81.96053989833084,0.8109461521036511
Jawa Timur,1081873,834902,77.17190465054587,0.758657832338724
Banten,199408,102862,51.58368771563829,0.4792536179697845
Bali,74278,73739,99.27434772072485,1.0
Nusa Tenggara Barat,276306,211426,76.51878714179206,0.7515262770260515
Nusa Tenggara Timur,184346,105437,57.19516561248956,0.5405267647938409
Kalimantan Barat,368728,91561,24.831583172419776,0.1871406203495108
Kalimantan Tengah,180034,13850,7.692991323861048,0.0
Kalimantan Selatan,447918,47203,10.538312816185105,0.031068785222987748
Kalimantan Timur,59425,11875,19.983172065628942,0.1341995928571852
Kalimantan Utara,18189,3978,21.870361207323107,0.15480628854223394
Sulawesi Utara,59886,50738,84.72430952142403,0.8411244518344011
Sulawesi Tengah,136541,121727,89.15051156795396,0.8894552717815218
Sulawesi Selatan,646611,388756,60.1220826741271,0.5724865126813243
Sulawesi Tenggara,108466,89676,82.67659911861782,0.8187649838884083
Gorontalo,32681,27598,84.44662036045408,0.8380922936321726
Sulawesi Barat,64232,36228,56.401793498567685,0.5318637339638121
Maluku,16732,15053,89.96533588333732,0.8983525446265795
Maluku Utara,13221,9485,71.7419257242266,0.6993665186919956
Papua Barat,11340,6742,59.45326278659612,0.5651834991221816
Papua,53543,5659,10.56907532263788,0.03140468881366474
