Province,Total Villages,Food Crops,Horticultural Crops,Estate Crops,Livestock,Fishery,Forestry,Agricultural Services,Total,Independent of Agriculture (%),A7
Aceh,6516,3681,78,1484,7,277,4,88,5619,13.766114180478823,0.8995752739083411
Bali,717,238,69,113,22,8,0,0,450,37.23849372384937,0.9276417109998732
Bangka Belitung,393,4,4,192,1,42,0,5,248,36.895674300254456,0.9272317943244759
Banten,1552,626,47,25,0,17,0,5,720,53.608247422680414,0.9472153831767054
Bengkulu,1514,215,38,1072,0,12,0,0,1337,11.69088507265522,0.8970938771203577
DI Yogyakarta,438,271,12,3,9,0,0,0,295,32.64840182648402,0.9221532378246795
DKI Jakarta,267,0,0,0,0,6,0,0,6,97.75280898876404,1.0
Gorontalo,732,457,17,25,2,63,0,9,573,21.721311475409834,0.9090874771349615
Jambi,1585,247,80,1044,1,11,0,0,1383,12.744479495268138,0.8983536829925155
Jawa Barat,5957,2699,268,56,6,66,1,25,3121,47.60785630350848,0.9400405844069577
Jawa Tengah,8563,4531,697,283,40,120,12,12,5695,33.49293471914049,0.9231630642574737
Jawa Timur,8494,5066,339,402,90,169,5,38,6109,28.07864374852838,0.9166890782416479
Kalimantan Barat,2157,846,53,958,1,64,4,19,1945,9.828465461288829,0.894866941297176
Kalimantan Selatan,2015,836,25,622,7,109,0,3,1602,20.49627791563276,0.9076226777405512
Kalimantan Tengah,1577,310,30,728,1,70,32,13,1184,24.92073557387444,0.9129130984369165
Kalimantan Timur,1052,201,32,423,3,111,8,11,789,25.0,0.9130078766431626
Kalimantan Utara,484,309,6,87,3,32,3,0,440,9.090909090909093,0.8939850290295053
Kepulauan Riau,430,6,18,41,0,235,1,0,301,30.0,0.9189864858931692
Lampung,2657,1364,58,820,1,36,9,6,2294,13.662024840045163,0.8994508120096325
Maluku,1262,350,40,481,6,201,18,2,1098,12.995245641838352,0.8986535295532101
Maluku Utara,1209,33,36,515,1,60,2,6,653,45.98842018196857,0.938104189251751
Nusa Tenggara Barat,1166,760,56,35,8,32,0,2,893,23.41337907375643,0.9111107193339839
Nusa Tenggara Timur,3538,2195,107,850,22,99,0,14,3287,7.094403617863193,0.8915977638117372
Papua,5561,1808,272,318,10,446,197,4,5377,3.308757417730618,0.8870711839338641
Papua Barat,2026,837,469,223,4,288,16,8,1845,8.93385982230997,0.8937972417875145
Riau,187,61,6,1496,1,46,8,12,163,12.834224598930476,0.8984609931738953
Sulawesi Barat,650,229,7,311,6,34,0,1,588,9.538461538461547,0.8945201772700653
Sulawesi Selatan,306,1885,81,381,15,197,2,5,2566,-738.562091503268,0.0
Sulawesi Tengah,2022,647,43,924,2,147,0,10,1773,12.31454005934718,0.8978395950148077
Sulawesi Tenggara,2292,679,65,769,8,296,3,1,1821,20.54973821989529,0.9076866013944657
Sulawesi Utara,1838,386,98,713,1,115,1,27,1341,27.040261153427636,0.9154474614840249
Sumatera Barat,1286,568,61,288,1,32,0,8,958,25.505443234836704,0.9136122461629921
Sumatera Selatan,3283,767,28,1995,2,28,1,7,2828,13.859275053304913,0.8996866683995446
Sumatera Utara,6113,2153,399,2405,27,200,1,48,5233,14.395550466219532,0.9003279046283851
