Province,2015,2016,2017,2018,2019,Type,Mean,STD,Total Area (km2),Agriculture Area (%),E1
Aceh,12290.26,12203.85,12185.8,11264.1,11888.2,"Dry Fields, Garden Fields, Unused, Wetlands",11966.442000000001,376.4955997830517,56834.75,0.20917132564144297,0.34879607953142494
Bali,2006.13,2014.8400000000001,1982.7800000000002,1955.74,1963.5600000000002,"Dry Fields, Garden Fields, Unused, Wetlands",1984.61,23.051644626794005,5590.15,0.3512535441803888,0.6090007530986907
Bangka Belitung,2515.28,2267.53,1961.38,1929.3000000000002,2042.15,"Dry Fields, Garden Fields, Unused, Wetlands",2143.128,220.41972428981944,16690.13,0.12235674617273802,0.1898067313650894
Banten,4468.360000000001,4403.46,4082.9100000000003,4020.38,4472.01,"Dry Fields, Garden Fields, Unused, Wetlands",4289.424000000001,196.66858158841748,9352.77,0.4781481849762156,0.841391399340345
Bengkulu,4152.79,4122.24,4075.8500000000004,3743.34,3780.59,"Dry Fields, Garden Fields, Unused, Wetlands",3974.9619999999995,176.02341928277605,20128.34,0.18782423190387285,0.3097017184304143
DI Yogyakarta,1582.27,1585.67,1568.3100000000002,1772.87,1790.6399999999999,"Dry Fields, Garden Fields, Unused, Wetlands",1659.952,99.78015121255319,3170.65,0.5647548609906485,1.0
DKI Jakarta,16.93,16.9,16.57,24.57,12.37,"Dry Fields, Garden Fields, Unused, Wetlands",17.468,3.9457947234999446,660.98,0.018714635843747163,0.0
Gorontalo,2975.33,3181.9700000000003,3633.57,3639.8,3679.11,"Dry Fields, Garden Fields, Unused, Wetlands",3421.9560000000006,288.24737192904297,12025.15,0.3059512771150464,0.5260356802358724
Jambi,10167.69,10180.51,10186.69,8725.3,8539.960000000001,"Dry Fields, Garden Fields, Unused, Wetlands",9560.03,759.5085041525211,49026.58,0.17419040854981116,0.28473318547957943
Jawa Barat,17022.940000000002,17030.79,16184.27,16620.420000000002,16716.28,"Dry Fields, Garden Fields, Unused, Wetlands",16714.94,311.5033538824265,37044.86,0.4512442481898973,0.7921204197543991
Jawa Tengah,16995.29,16991.2,16836.04,17242.02,17893.480000000003,"Dry Fields, Garden Fields, Unused, Wetlands",17191.606,374.24548102014626,34337.49,0.5211062311193976,0.9200633435760007
Jawa Timur,22604.82,22687.0,23063.82,24938.239999999998,24326.170000000002,"Dry Fields, Garden Fields, Unused, Wetlands",23524.010000000002,938.166082396928,48036.84,0.5064065413128758,0.893142818073384
Kalimantan Barat,21880.620000000003,19216.17,20744.350000000002,18567.29,20150.710000000003,"Dry Fields, Garden Fields, Unused, Wetlands",20111.828,1159.1395011887062,147037.04,0.1370451282207531,0.21670654821294794
Kalimantan Selatan,9500.580000000002,9476.330000000002,9188.5,7352.08,7630.3,"Dry Fields, Garden Fields, Unused, Wetlands",8629.558,940.0622208003049,37135.05,0.20547434297247477,0.3420255478037054
Kalimantan Tengah,27838.1,22777.100000000002,23467.280000000002,23441.64,23416.81,"Dry Fields, Garden Fields, Unused, Wetlands",24188.185999999998,1843.1002811089786,153443.91,0.15260827229963053,0.24520837529847167
Kalimantan Timur,11146.910000000002,11403.75,11752.82,11482.61,9264.54,"Dry Fields, Garden Fields, Unused, Wetlands",11010.126,893.9301658765071,126981.28,0.07295988826069481,0.0993429603146069
Kalimantan Utara,2037.8200000000002,2560.96,4559.860000000001,2429.88,3126.3199999999997,"Dry Fields, Garden Fields, Unused, Wetlands",2942.968,880.5044014972328,70101.18,0.044597252143259214,0.0474005670416476
Kepulauan Riau,1737.91,1476.7,1458.49,1519.76,1495.6200000000001,"Dry Fields, Garden Fields, Unused, Wetlands",1537.6960000000001,102.14875243486826,8269.71,0.18085519322926685,0.2969388516054819
Lampung,11964.8,11961.84,11949.119999999999,10319.13,12150.58,"Dry Fields, Garden Fields, Unused, Wetlands",11669.094,679.0859134336393,33570.26,0.36194476897110717,0.6285803084104667
Maluku,20195.71,18021.49,14922.29,16825.66,16764.32,"Dry Fields, Garden Fields, Unused, Wetlands",17345.894,1735.5465577229552,46158.27,0.3631921213685002,0.6308646683164746
Maluku Utara,3975.82,3985.8100000000004,3990.4100000000003,3472.24,10890.75,"Dry Fields, Garden Fields, Unused, Wetlands",5263.005999999999,2820.848219827504,32998.7,0.33003572868022074,0.5701431478838739
Nusa Tenggara Barat,6266.5599999999995,6297.9,6471.1900000000005,6043.380000000001,6174.4,"Dry Fields, Garden Fields, Unused, Wetlands",6250.686,141.34956039549596,19675.89,0.31380537297169275,0.5404194114976735
Nusa Tenggara Timur,18594.96,18451.98,18566.79,18805.61,18447.45,"Dry Fields, Garden Fields, Unused, Wetlands",18573.358,130.41182452523248,46446.64,0.39717512397021615,0.6931000147922282
Papua,22052.18,22385.010000000002,22813.18,22370.36,22036.99,"Dry Fields, Garden Fields, Unused, Wetlands",22331.544,283.24718354116055,312816.36,0.07044705078724145,0.09474103291488588
Papua Barat,27665.66,27707.54,30676.260000000002,17728.190000000002,27694.019999999997,"Dry Fields, Garden Fields, Unused, Wetlands",26294.333999999995,4436.595667705588,99398.26,0.2786167484219543,0.4759761288800391
Riau,10370.060000000001,11485.029999999999,12767.630000000001,12437.84,12196.039999999999,"Dry Fields, Garden Fields, Unused, Wetlands",11851.32,852.1456632055342,89935.9,0.13560813868544153,0.21407489312760147
Sulawesi Barat,3358.18,3397.17,3433.88,3306.9900000000002,3288.63,"Dry Fields, Garden Fields, Unused, Wetlands",3356.97,54.22362621588487,16594.75,0.19817291613311439,0.32865395629248284
Sulawesi Selatan,13445.87,13646.2,13474.62,13416.199999999999,13374.61,"Dry Fields, Garden Fields, Unused, Wetlands",13471.5,93.41571966216416,45330.55,0.29504627673831446,0.5060646233896517
Sulawesi Tengah,11570.95,12471.93,11669.82,10669.960000000001,10108.44,"Dry Fields, Garden Fields, Unused, Wetlands",11298.22,824.6636226971575,61605.72,0.16408281568659533,0.26622247436759755
Sulawesi Tenggara,6569.91,6501.36,7042.78,7039.62,7373.91,"Dry Fields, Garden Fields, Unused, Wetlands",6905.5160000000005,326.2488888318243,36159.71,0.20392613768196702,0.33919021586439413
Sulawesi Utara,4731.87,4745.56,4833.1,4626.63,4891.610000000001,"Dry Fields, Garden Fields, Unused, Wetlands",4765.754,90.8698265872673,14500.28,0.3373458995274574,0.583530752881784
Sumatera Barat,9345.8,9531.02,9222.11,8883.14,8612.24,"Dry Fields, Garden Fields, Unused, Wetlands",9118.862,329.9290634303079,42119.54,0.2044713688706002,0.34018873422169366
Sumatera Selatan,17314.17,16863.059999999998,16792.260000000002,15982.82,15268.779999999999,"Dry Fields, Garden Fields, Unused, Wetlands",16444.218,727.7253524895225,86771.68,0.17596501531375214,0.28798314158576843
Sumatera Utara,16489.79,16385.46,17278.48,15758.130000000001,16709.31,"Dry Fields, Garden Fields, Unused, Wetlands",16524.234,492.0366054106134,72460.74,0.23059811423399762,0.3880363911527715
