Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Mean,STD,E2
Aceh,17468369.49,18341842.59,19345954.439999998,20842309.009999998,22235269.310000002,23936701.45,25688483.950000003,27478419.09,29652996.26,31589711.560000002,33921582.46,39065368.52,45052321.74,51947629.44,56026963.19,0,28912120.15625,14093198.811446445,0.18317780010127502
Bali,11114131.850000001,11659799.58,12879585.91,14438610.07,16415076.299999999,18167620.6,19942543.46,21726585.22,23746805.380000003,25462731.6,25459175.33,26300679.64,27536543.22,28855793.349999998,30943494.77,0,19665573.5175,8229690.018695823,0.1226530314400714
Bangka Belitung,5137831.52,6031507.85,7006544.2299999995,8016457.96,9449163.88,10496853.97,11422996.87,11425420.12,11425028.42,11752191.56,13322504.92,14867366.89,16135348.21,17729219.97,19511866.73,0,10858143.94375,4985307.79751755,0.06500257465038664
Banten,7545618.029999999,8009978.58,9049723.120000001,10390337.61,11791028.96,13067663.82,14341671.87,15739565.25,17121129.43,18490670.560000002,19331108.32,20562612.830000002,22462567.02,24566500.65,26906041.369999997,0,14961013.588750003,7101254.529103672,0.09185857244204107
Bengkulu,5239773.859999999,5871204.93,6550648.15,7255643.94,7920924.67,8560539.620000001,9217539.84,9848384.84,10546059.41,11360309.620000001,11813083.95,13476050.89,15042803.83,16723787.879999999,19368337.8,0,9924693.326875001,4774928.183433056,0.05889252244924891
DI Yogyakarta,2541957.8200000003,2779875.73,3012678.51,3283265.25,3627532.04,3961987.3,4207277.73,4432198.34,4704354.42,4898749.47,4915469.07,5312489.85,5679616.82,6105985.0200000005,6468486.18,0,4120745.2218750003,1601125.8018728916,0.02090184007874994
DKI Jakarta,583486.58,637550.82,685077.6,761010.1200000001,811592.1599999999,873741.8500000001,932662.84,986393.55,1034956.65,1068937.95,1089278.47,1231529.49,1370497.6800000002,1315900.8399999999,1457539.16,0,927509.7350000001,360294.38681816804,0.0
Gorontalo,2386142.6,2623983.85,2920360.39,3226485.29,3701003.3499999996,4217632.35,4729579.88,5214710.73,5691413.58,6337576.71,6584391.42,6966405.98,7645188.370000001,8468878.34,9023283.65,0,4983564.780625001,2466083.5146928565,0.026549565249015795
Jambi,19047449.14,21669543.249999996,21571394.04,25905275.39,29516037.78,34475265.28,40604062.67,45334794.4,46239247.660000004,48817114.95,51628236.76,61570419.08,71171065.93,80396347.75,96022790.46,0,43373065.28375,24979633.96075646,0.2778342586321128
Jawa Barat,29134031.72,31361857.62,33346912.410000004,37432793.29,40706013.010000005,44676343.599999994,48348264.83,52991659.47,56852029.18,61447610.72,63230912.42999999,66027233.26,73011301.74,79850225.9,87246182.4,0,50353960.72375,22000278.168855228,0.3235288404107183
Jawa Tengah,36195803.8,40759720.480000004,44374417.83,49617812.32,55143787.45,59946669.64,63200969.46,66954438.97,72193880.14,76996615.39,77537080.95,81735958.15,87961535.1,95419297.55,101274177.09,0,63082010.269999996,25529722.204311237,0.4068423502422396
Jawa Timur,74121423.24000001,83457376.62,96470231.61000001,107983369.80000001,123257294.61,135923709.3,145131415.82,156390447.06,157644335.99,163763143.68,167421325.35,177986125.18,191437886.93,205709820.47,215793862.14,0,137655735.4875,55581876.189714245,0.8949767471508265
Kalimantan Barat,16581756.79,17935581.17,18798242.52,20317278.86,21420830.59,22593913.34,24253399.62,26854220.35,29002632.34,31792894.24,34062772.86,38756384.96,43468249.94,45681532.64,52994628.6,0,27782144.92625,13142679.093829105,0.17578136421438634
Kalimantan Selatan,9095337.290000001,10070188.44,10821284.67,11716434.56,13091622.74,14101836.0,14628636.25,15751527.06,16777257.580000002,17549571.53,17770155.18,19043185.59,20783033.37,21415594.16,22809957.82,0,14714101.39,5689369.496749057,0.09024236865344555
Kalimantan Tengah,12099801.72,13740225.07,14839294.15,16275483.26,18586548.46,20056925.94,21557327.77,23361294.38,24575124.47,26690219.48,29642473.54,34119057.49,37409895.47,41249943.51,45855599.82,0,23753700.908125,11870342.97379032,0.1494125314179526
Kalimantan Timur,23865468.32,28176086.93,31683565.46,26856331.5,34284720.839999996,36065830.38,39030852.89,44122542.89,46667165.519999996,48243047.07,49646867.73,55351548.42,61039508.059999995,63491869.34,69850776.11,0,41148511.34125,17538048.68165469,0.26327308049670656
Kalimantan Utara,0.0,0.0,0.0,7238307.98,8700527.57,9160222.83,10115364.82,11025497.84,12263535.4,13745596.47,14729911.770000001,16224482.54,17617012.77,18947642.040000003,19597652.349999998,0,9960359.64875,6935531.972670184,0.05912598213585599
Kepulauan Riau,4315812.920000001,4655082.59,5041620.76,5574777.34,6170788.2,6764021.8,7392154.43,7634095.7,7736861.8,7793553.9399999995,7602720.39,8031599.51,8930498.35,9411814.71,9873992.15,0,6683087.161875,2417517.663214294,0.037674064262368495
Lampung,30021335.0,33494840.72,35866679.870000005,38256662.13,43882383.05,46156881.65,50026664.94,53789826.6,56792573.96,60440252.72,61404072.519999996,64965275.58,72335734.63,77656747.50999999,82259622.66,0,50459347.09625,20633339.713855963,0.32421866398105265
Maluku,3499733.4699999997,3894124.1900000004,4493592.449999999,5144451.99,5855268.13,6162688.0600000005,6503563.86,6937001.409999999,7411931.489999999,7989175.31,8245873.44,8618877.88,9746362.68,10853134.33,11575390.780000001,0,6683198.091874999,2943060.163174557,0.03767479037265051
Maluku Utara,3405765.02,3821922.07,4347168.72,4703669.220000001,5309542.66,5678286.609999999,6220008.17,6608591.36,7025697.92,7447166.22,7590803.9,8110335.63,8785072.620000001,9332318.11,10208142.969999999,0,6162155.7,2571182.2213270096,0.03426422300485559
Nusa Tenggara Barat,6549579.0600000005,6771218.859999999,7099415.1899999995,7420261.109999999,8352036.0600000005,9387429.73,10662799.04,11745228.1,12765843.02,13537130.23,14121333.440000001,14837775.55,15737223.780000001,16911910.81,17924967.23,0,10864009.450625,4733404.863225019,0.06504096827565668
Nusa Tenggara Timur,7430618.54,8121956.26,8934972.09,9947702.09,11527658.45,12993716.190000001,14649875.91,15907335.469999999,17485900.229999997,18836499.36,19764839.89,21457207.759999998,23613158.630000003,25938167.18,27643552.509999998,0,15265822.534999998,7513534.320220055,0.09385374876877187
Papua,7950532.0200000005,8637595.25,9739757.87,10619724.02,12050648.95,14103455.629999999,15158403.55,15746689.979999999,16756690.5,17107415.759999998,17178893.79,17644550.17,18844681.009999998,20159576.360000003,20763421.8,0,13903877.291250002,5457604.582350121,0.08493891558534906
Papua Barat,4306201.4,4181384.73,4470822.39,4971932.67,5635835.64,6125730.95,6569978.97,7174625.68,7551224.330000001,8119437.59,8215085.0,8428512.569999998,8635914.15,8696759.34,8731221.290000001,0,6363416.66875,2376190.6772475247,0.03558160927348423
Riau,85835924.72,93683638.64,100152457.86,108542867.94,125972598.22,135495129.88,146358630.23,155846176.19,156250201.97,163306495.61,183348746.61,214596601.04,241921315.55,258584678.98,289311676.16,0,153700446.225,72918665.04040778,1.0
Sulawesi Barat,5874653.85,7010129.85,7705481.2,8752151.76,10207227.41,11449511.66,11956843.99,13053938.96,14577185.16,14903614.040000001,15206561.040000001,17560192.51,18999141.74,20863340.99,23676404.319999997,0,12612273.655000001,6078363.729991172,0.07648451478685067
Sulawesi Selatan,22255091.27,25422695.41,28750785.05,33237945.89,41264925.28,48321544.36,53908677.32,59561766.93,65849177.03,70115546.33,71005638.53,81507209.71,90529669.33,93690441.48,99589426.83,0,55313158.79687501,28799145.355739865,0.3559900746257824
Sulawesi Tengah,14123445.65,16203396.57,18086230.619999997,20369333.98,23502194.849999998,25492861.38,26822543.95,29545438.98,31749437.369999997,32888601.5,32959420.5,36283722.66,40213841.28,42567702.07,46334469.019999996,0,27321415.023749996,11899223.710028028,0.17276558201444048
Sulawesi Tenggara,11305851.120000001,12046192.299999999,13549275.21,15097608.96,16928075.45,17584532.939999998,20128284.99,22453410.35,24680267.45,26879830.91,27570148.39,29001585.58,32974392.07,36342867.190000005,39955787.870000005,0,21656131.92375,10402401.572411507,0.13568255389335157
Sulawesi Utara,8808675.46,8904574.43,10129994.07,11486240.15,13178037.34,14472778.79,15717152.04,17074686.84,17924610.49,19776470.44,20862426.96,22411156.12,24378924.77,26139991.97,28762831.990000002,0,16251784.491250003,7492375.623027914,0.10030752244690329
Sumatera Barat,14995458.14,16961996.88,18442811.31,20615781.2,23269217.46,25143944.55,27270934.64,29394311.39,31213996.75,31779117.0,31481759.520000003,34070155.15,38206474.66,41204426.31,45638573.37,0,26855559.895625,11243097.064697092,0.16971625182004776
Sumatera Selatan,28710616.0,33343471.0,37380801.0,40808522.76,43240742.6,44469927.73,44701605.5,45777964.870000005,47238612.62,49875551.28,52459915.69,56752141.38,60316529.64,64569823.82,71269689.50999999,0,45057244.712500006,16403400.87130398,0.28885832786482174
Sumatera Utara,61385341.17,69300043.36,75533873.68,84423978.97,89733132.13,90487639.91,96012864.6,105773006.36,112263420.23,119597718.03,127605358.42,143846775.98000002,170489203.39,195013769.04999998,225489062.25,0,110434699.220625,54614211.027196944,0.7167970453509807
