province,tmax_mean,heat_stress_mean,tmin_mean,tdiff_mean,rx1_mean,rx5_mean,prcptot_mean,cdd_mean,cwd_mean,H
ACEH,0.674582950507544,0.18094684867847807,0.8955507493034724,0.43975169964839034,0.7264718698248268,0.5497369233165557,0.28640867173642365,0.013129102844638951,0.93682839465972,0.5224854900897147
BALI,0.0,0.0,0.5108719740029886,0.1765918403803892,0.13994852419451878,0.11915299331281382,0.07354535037236565,0.5382932166301969,0.16910886790404864,0.0
BANTEN,0.4243313617036455,0.30554748765611384,0.7234820585418158,0.6861042024661915,0.1818841312544948,0.13489402787165367,0.07171517673057946,0.29321663019693656,0.1906002387930099,0.2254812997245222
BENGKULU,0.6988205890781801,0.09817020040662214,0.6930275777312842,0.36969416302840186,0.390646872222945,0.2811297676168003,0.191890218443301,0.1225382932166302,0.42353196570064044,0.27072184918114317
DAERAH ISTIMEWA YOGYAKARTA,0.2228748402586365,0.035724658727853624,0.0,0.6853836528878714,0.208018563142467,0.1318563129034686,0.06045280955851548,0.5842450765864333,0.13025073266037127,0.0581661239978398
DKI JAKARTA,0.31273785934888254,0.15945396456578567,0.3681518058346454,0.8608730503259779,0.0,0.0,0.0,1.0,0.0,0.17095571632402784
GORONTALO,0.45628184833825935,0.04066221318617485,0.5600814686511424,0.41016424272368646,0.21010185197473957,0.153663948152335,0.15322534249721512,0.19693654266958427,0.4381851731249322,0.15657385476289987
JAMBI,0.748797896272353,0.31222770839384256,0.6816671694350663,0.8923073024493401,0.34605849446436243,0.22147650497007837,0.17068431411620086,0.06345733041575492,0.6666666666666667,0.41713073146164603
JAWA BARAT,0.6150409638969144,0.7203020621550974,0.7898461234407024,0.843524026235675,0.35000904974346586,0.28574283060122296,0.1694944087655373,0.1575492341356674,0.45783132530120496,0.4673439012903449
JAWA TENGAH,0.7050171395257019,0.9561428986349114,0.7775190639493954,1.0,0.36088538404022247,0.2675704128782879,0.1512230416699442,0.262582056892779,0.35742971887550207,0.5461812065866621
JAWA TIMUR,0.7251983621821009,1.0,1.0,0.7955463307076828,0.3205854713347429,0.2603846723915055,0.147730711341138,0.2428884026258206,0.31390426571149466,0.5405397959344014
