Province,2010_T,2011_T,2012_T,2013_T,2014_T,2015_T,2016_T,2017_T,2018_T,2019_T,2020_T,2021_T,2022_T,2023_T,2024_T,2025_T,2010_AG,2011_AG,2012_AG,2013_AG,2014_AG,2015_AG,2016_AG,2017_AG,2018_AG,2019_AG,2020_AG,2021_AG,2022_AG,2023_AG,2024_AG,2025_AG,2010_AG%,2011_AG%,2012_AG%,2013_AG%,2014_AG%,2015_AG%,2016_AG%,2017_AG%,2018_AG%,2019_AG%,2020_AG%,2021_AG%,2022_AG%,2023_AG%,2024_AG%,Mean_AG%,STD_AG%,S2
Aceh,101545236.83,108217625.25,114552081.63,121331129.65,127897069.76,129092659.01,136843817.97,145806922.5,155910977.03,164162978.19,166372320.74,184979878.57,209698358.88,227018203.68,243202093.9,0,17468369.49,18341842.59,19345954.439999998,20842309.009999998,22235269.310000002,23936701.45,25688483.950000003,27478419.09,29652996.26,31589711.560000002,33921582.46,39065368.52,45052321.74,51947629.44,56026963.19,0,0.1720254936156615,0.1694903445499512,0.16888348220931407,0.17178039197461636,0.173852843944937,0.18542263854171423,0.18772118705158927,0.1884575753939255,0.1901918442490053,0.19242896241464685,0.20388957916269793,0.21118712382123717,0.2148434636333097,0.2288258324571375,0.23037204282063953,0.19262485372269217,0.02089051982518071,0.5614658314714469
Bali,93749349.74,104612189.31,117987403.3,134407529.19,156395732.16,176412667.66,194089575.08,213035855.32,233636772.68,251934097.83,224225721.32,220466429.79,245367890.26,274358182.88,298441509.83,0,11114131.850000001,11659799.58,12879585.91,14438610.07,16415076.299999999,18167620.6,19942543.46,21726585.22,23746805.380000003,25462731.6,25459175.33,26300679.64,27536543.22,28855793.349999998,30943494.77,0,0.11855156201961302,0.1114573708561649,0.10916068622386574,0.10742411646887295,0.10495859492640518,0.10298365100977014,0.10274917368323397,0.10198557978592201,0.10163984507920229,0.10106901693466572,0.11354261759143305,0.11929562094806036,0.11222553689001996,0.10517562496986312,0.10368361555209332,0.1077268408626124,0.006054938891509331,0.3134365883517838
Bangka Belitung,35561904.17,40849042.5,45400228.31,50388364.17,56373615.1,60987324.5,65048232.09,69865208.41,73113281.66,75794959.5,75519774.07,85961290.42,95286440.34,102526770.96,107504816.92,0,5137831.52,6031507.85,7006544.2299999995,8016457.96,9449163.88,10496853.97,11422996.87,11425420.12,11425028.42,11752191.56,13322504.92,14867366.89,16135348.21,17729219.97,19511866.73,0,0.14447571467037107,0.1476535918803972,0.1543283919666262,0.1590934354001673,0.1676167807091726,0.17211533799945594,0.1756081065230992,0.16353518983226345,0.15626474644005195,0.15505241558972005,0.1764108153667309,0.17295420784587148,0.1693351976674334,0.17292283570421732,0.1814976043772979,0.16459095813152508,0.011221884745211679,0.47956490504302235
Banten,271465283.23,306174286.36,338224929.34,377836082.24,428740068.9,479300443.65,517898343.55,563597700.49,613804414.41,661321340.75,625895383.65,665870304.83,747220837.2,814122032.75,873626251.59,0,7545618.029999999,8009978.58,9049723.120000001,10390337.61,11791028.96,13067663.82,14341671.87,15739565.25,17121129.43,18490670.560000002,19331108.32,20562612.830000002,22462567.02,24566500.65,26906041.369999997,0,0.027795885868790615,0.026161499958823647,0.026756523056000948,0.027499590691288444,0.027501579197511766,0.027264034475925528,0.02769205974225209,0.02792695079542694,0.027893460894146783,0.02796019033504931,0.03088552627959617,0.030880807690094752,0.030061483702960096,0.03017545240363721,0.030798114549592567,0.02848354397607313,0.0016047118822588686,0.08192757787037369
Bengkulu,28352571.99,32199706.9,36207676.96,40565490.15,45389903.77,50334017.7,55384172.03,60657676.57,66402993.05,72098240.45,73305267.04,79602643.99,90111947.04,96583090.73,103991920.87,0,5239773.859999999,5871204.93,6550648.15,7255643.94,7920924.67,8560539.620000001,9217539.84,9848384.84,10546059.41,11360309.620000001,11813083.95,13476050.89,15042803.83,16723787.879999999,19368337.8,0,0.18480770851575923,0.1823372165539805,0.18091876364332213,0.17886247431426638,0.1745085142752661,0.17007463364085876,0.16642913493420333,0.1623600737267738,0.15881903699821254,0.15756708553627402,0.16114918377630397,0.16929149855490877,0.16693462214641322,0.17315440781193975,0.18624848582431996,0.17156418935018683,0.00950856692966625,0.4999371752881878
DI Yogyakarta,64678968.2,71369958.13,77247860.59,84924542.92,92842484.25,101440518.44,109962353.61,119128718.83,129818357.94,141047688.0,138117838.18,149413649.93,165724525.08,180696042.39,193514559.91,0,2541957.8200000003,2779875.73,3012678.51,3283265.25,3627532.04,3961987.3,4207277.73,4432198.34,4704354.42,4898749.47,4915469.07,5312489.85,5679616.82,6105985.0200000005,6468486.18,0,0.039301149828793965,0.03895022223407321,0.03900015465787542,0.038660970517002104,0.039071897626436036,0.039057246166810895,0.03826107383006569,0.03720512050771628,0.03623797508033708,0.034731157521702874,0.03558895168626944,0.03555558580149063,0.0342714321688856,0.03379147068877871,0.033426353980849664,0.03687405081980585,0.002172785584940917,0.10644041382180193
DKI Jakarta,1075183480.67,1224218484.51,1369432639.11,1546876491.42,1762316399.06,1989088747.71,2159073617.96,2365353854.95,2592606571.93,2815636157.03,2767273488.58,2912885341.58,3188541222.87,3443026231.23,3679358597.48,0,583486.58,637550.82,685077.6,761010.1200000001,811592.1599999999,873741.8500000001,932662.84,986393.55,1034956.65,1068937.95,1089278.47,1231529.49,1370497.6800000002,1315900.8399999999,1457539.16,0,0.0005426855885438275,0.0005207818931562556,0.0005002638176093384,0.0004919656638529744,0.00046052579459221634,0.0004392674037324491,0.00043197361694467194,0.00041701733038199097,0.0003991954125263028,0.00037964349453714256,0.00039362877377145433,0.00042278680606494344,0.00042981965237583403,0.0003821930916657299,0.0003961394687101908,0.00044052585389768817,5.177979227650558e-05,0.0
Gorontalo,15475736.81,17406525.21,19669716.4,22129276.86,25193783.04,28493416.95,31697555.69,34537683.34,37731386.37,41145449.91,41729887.61,43893261.82,47566291.44,51366737.55,54554503.95,0,2386142.6,2623983.85,2920360.39,3226485.29,3701003.3499999996,4217632.35,4729579.88,5214710.73,5691413.58,6337576.71,6584391.42,6966405.98,7645188.370000001,8468878.34,9023283.65,0,0.154186041627313,0.15074713754428876,0.14846987778634166,0.14580165951251967,0.1469014535897186,0.14802129058094593,0.1492096086605219,0.15098611793572603,0.15084029842394578,0.15402861613769142,0.15778598498842206,0.15871242398362273,0.16072702198454178,0.1648708628177224,0.16539942620081324,0.15377918811827565,0.006356917567720117,0.44797835733913527
Jambi,90618411.27,103522912.66,115070400.06,129976040.49,144814418.3,155065655.99,171199468.14,189787722.25,207878694.32,216927708.24,205081992.42,232294154.91,276936845.7,293780012.02,322975528.24,0,19047449.14,21669543.249999996,21571394.04,25905275.39,29516037.78,34475265.28,40604062.67,45334794.4,46239247.660000004,48817114.95,51628236.76,61570419.08,71171065.93,80396347.75,96022790.46,0,0.2101940309155014,0.20932122844311013,0.18746257967950267,0.19930808241533626,0.20381974479125467,0.2223268915344044,0.23717400007805892,0.23887106005878628,0.22243379876545305,0.22503863312837255,0.25174436892668456,0.2650536734506076,0.2569938490853549,0.27366173483758577,0.29730670612494947,0.2333806921489975,0.03073268376263247,0.6805338687203731
Jawa Barat,906685760.4,1021628597.37,1128245684.62,1258989328.78,1385825076.49,1524974827.42,1653238421.97,1788117361.36,1960627652.47,2123153711.47,2082107257.28,2204660233.11,2422782320.62,2625225723.29,2823338731.66,0,29134031.72,31361857.62,33346912.410000004,37432793.29,40706013.010000005,44676343.599999994,48348264.83,52991659.47,56852029.18,61447610.72,63230912.42999999,66027233.26,73011301.74,79850225.9,87246182.4,0,0.03213244653489101,0.030697904992808042,0.029556428058691357,0.02973241506842123,0.029373124862987522,0.02929644660140707,0.029244580931278002,0.02963544821783722,0.02899685165022424,0.028941668419031116,0.030368710453755818,0.029948938284634814,0.030135312247662475,0.030416518165123592,0.030901776475365766,0.02995857139760795,0.0008509848439546487,0.08623686524494377
