Province,Individual,Company,Group,Total(2023)
Aceh,825798,105,273,826176
Sumatera Utara,1516399,435,307,1517141
Sumatera Barat,769204,96,1251,770551
Riau,728647,322,272,729241
Jambi,565489,144,164,565797
Sumatera Selatan,1185289,230,131,1185650
Bengkulu,335782,93,352,336227
Lampung,1371783,216,353,1372352
Bangka Belitung,167480,223,281,167984
Kepulauan Riau,81006,33,96,81135
DKI Jakarta,13416,43,339,13798
Jawa Barat,3292120,619,943,3293682
Jawa Tengah,4363708,285,2324,4366317
DI Yogyakarta,431133,35,537,431705
Jawa Timur,5676717,637,1591,5678945
Banten,609226,209,132,609567
Bali,369271,105,341,369717
Nusa Tenggara Barat,768765,144,374,769283
Nusa Tenggara Timur,901801,48,536,902385
Kalimantan Barat,729776,427,392,730595
Kalimantan Tengah,310633,273,193,311099
Kalimantan Selatan,487982,158,347,488487
Kalimantan Timur,210037,342,203,210582
Kalimantan Utara,61224,67,42,61333
Sulawesi Utara,271269,37,279,271585
Sulawesi Tengah,457492,47,66,457605
Sulawesi Selatan,1121665,95,329,1122089
Sulawesi Tenggara,349855,44,51,349950
Gorontalo,149235,30,31,149296
Sulawesi Barat,206308,16,29,206353
Maluku,208862,33,149,209044
Maluku Utara,153790,23,51,153864
Papua Barat,50105,25,113,50243
Papua Barat Daya,32995,16,12,33023
Papua,73676,27,33,73736
Papua Selatan,67637,17,2,67656
Papua Tengah,205438,6,5,205449
Papua Pegunungan,221189,0,2,221191
